CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
9676418,1,1,Y,F,52,A,-,S,M,G,Y,-,3,-,-,"- ",,,-,-,0,0,E,2015,-,A,01,,A,,-,-,2024
9676418,2,4,N,M,57,A,-,N,-,-,,-,3,-,-,"- ",,,-,-,0,1,B,,-,L,04,,W,,-,-,2024
9647578,1,1,N,-,998,D,-,S,L,B,,-,-,-,-,"- ",,,A,-,0,0,B,2017,-,A,01,,,,-,-,2023
9647578,2,1,N,M,21,A,-,S,L,G,,-,-,-,-,"- ",,,N,-,0,1,R,2010,-,A,01,,H,,-,-,2023
92294777,1,1,N,M,63,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2007,HOND,A,01,,A,,-,-,2024
92294777,2,1,Y,-,998,G,G,W,B,B,N,-,4,-,-,"- ",,,N,-,0,0,B,,-,-,99,,,,-,-,2024
92234705,1,1,Y,F,25,A,-,E,L,G,N,-,3,-,-,"- ",,,N,-,0,1,B,2015,CHEV,A,01,,B,,-,-,2023
92234705,2,1,N,M,48,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,H,2024,VOLK,A,01,,W,,-,-,2023
92054465,1,1,Y,M,32,B,-,S,L,G,Y,-,3,-,,25,22350,,A,-,0,0,B,2015,TOYT,A,01,,H,,-,-,2023
92054465,2,2,N,F,39,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,O,,-,-,2023
92054465,3,2,N,M,42,A,-,S,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,O,,-,-,2023
92054465,4,5,N,-,998,H,H,S,-,-,O,-,3,-,-,"- ",,,N,-,0,0,A,2018,LEXS,A,01,,,,-,-,2023
94593145,1,1,Y,M,21,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2005,SCIO,A,01,,A,,-,-,2025
94593145,2,1,N,M,39,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,H,2010,FORD,A,08,,H,,-,-,2025
92410269,1,1,Y,M,58,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,J,2021,TSMR,A,07,,A,,-,-,2024
92410269,2,1,N,M,46,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,5,B,2014,BUIC,A,07,,B,,-,-,2024
9644396,1,1,N,M,79,A,-,S,L,G,,-,3,-,-,"- ",,,M,-,0,2,B,2012,-,A,07,,A,,-,-,2023
9644396,2,1,N,M,49,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,2003,-,A,08,,H,,-,-,2023
9644396,3,1,N,F,36,A,-,N,M,G,,-,3,-,-,"- ",,,N,-,0,1,A,2021,-,A,07,,H,,-,-,2023
9629370,1,4,Y,M,17,A,-,N,-,-,,-,3,-,-,"- ",,,N,-,0,1,B,,-,L,04,,H,,-,-,2023
9629370,2,1,N,F,46,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2017,-,A,07,,W,,-,-,2023
9873134,1,1,Y,M,36,A,-,S,M,G,,-,-,-,-,"- ",,,N,-,0,0,E,2022,-,A,01,,B,,-,-,2025
9873134,2,3,N,-,998,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2013,FORD,A,01,,,,-,-,2025
9873134,3,2,N,M,58,-,-,W,-,-,O,-,-,-,-,"- ",,,-,-,0,1,-,,-,N,60,,B,,-,-,2025
9594797,1,1,Y,M,59,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2005,-,A,08,,B,,-,-,2023
9594797,2,1,N,F,47,A,-,S,B,G,N,-,3,-,-,"- ",,,N,-,0,2,A,2015,-,A,01,,B,,-,-,2023
9592550,1,1,Y,M,998,G,G,N,P,B,,-,-,-,-,"- ",,,N,-,0,0,B,,-,A,01,,B,,-,-,2023
9592550,2,1,N,M,71,A,-,E,M,G,Y,-,-,-,-,"- ",,,N,-,0,1,B,2012,-,D,22,,W,,-,-,2023
9471178,1,1,Y,-,998,G,G,W,L,A,,-,-,-,-,"- ",,,N,-,0,1,B,2014,-,A,01,,,,-,-,2023
9471178,2,1,N,M,32,G,G,N,L,G,N,-,-,-,-,"- ",,,N,-,0,1,B,2023,-,A,01,,B,,-,-,2023
9471178,3,3,N,-,998,H,H,-,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,1999,-,A,01,,,,-,-,2023
9657317,1,1,Y,M,60,A,-,N,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,B,2013,-,G,25,28,,,-,-,2023
9657317,2,1,N,F,40,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2017,-,A,07,,B,,-,-,2023
9652102,1,1,Y,F,63,A,-,S,M,G,Y,-,3,-,-,"- ",,,A,-,0,1,A,2014,MINI,A,01,,A,,-,-,2023
9652102,2,1,N,F,57,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2021,-,A,01,,B,,-,-,2023
9739658,1,1,Y,M,32,G,G,E,B,-,,-,3,-,-,"- ",,,-,-,0,0,B,2000,-,A,01,,H,,-,-,2024
9739658,2,2,N,F,0,A,-,-,-,-,O,-,3,-,-,"- ",,,-,-,0,1,B,,-,N,60,,A,,-,-,2024
9739658,3,2,N,M,33,A,-,-,-,-,O,-,3,-,-,"- ",,,-,-,0,0,B,,-,N,60,,A,,-,-,2024
9875035,1,1,Y,M,20,A,-,W,P,W,,-,3,-,-,"- ",,,N,-,0,1,B,,-,M,94,,B,,-,-,2025
9875035,2,1,N,M,23,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2012,-,A,01,,A,,-,-,2025
9873166,1,1,Y,M,57,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2017,-,D,22,,H,,-,-,2025
9873166,2,1,N,F,72,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2003,-,A,01,,W,,-,-,2025
9873166,3,2,N,M,24,A,-,W,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,H,,-,-,2025
9822274,1,1,Y,M,28,A,-,N,M,G,,-,-,-,-,"- ",,,N,-,0,0,B,2012,-,A,01,,H,,-,-,2025
9822274,2,2,N,M,32,-,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2025
94531564,1,1,Y,M,20,A,-,E,M,G,N,-,3,-,-,"- ",,,N,-,0,0,B,2004,HOND,A,08,,O,,-,-,2025
94531564,2,1,N,F,42,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,2004,BUIC,A,07,,B,,-,-,2025
9608425,1,1,Y,F,50,A,-,N,L,G,Y,-,-,-,-,"- ",,,N,-,0,1,E,2014,-,A,01,,B,,-,-,2023
9608425,2,1,N,M,998,G,G,S,L,B,N,-,-,-,,25,22350,,A,-,0,0,B,2012,-,A,01,,H,,-,-,2023
9755815,1,1,Y,F,28,A,-,S,L,G,Y,-,-,-,-,"- ",,,A,-,0,1,B,2016,-,A,01,,W,,-,-,2024
9755815,2,1,N,M,43,A,-,E,L,G,Y,-,-,-,-,"- ",,,N,-,0,1,B,2014,-,A,01,,W,,-,-,2024
9470023,1,1,Y,M,998,G,G,E,N,B,,-,-,-,-,"- ",,,N,-,0,0,M,2016,-,A,01,,,,-,-,2023
9470023,2,1,N,F,48,A,-,W,M,G,,-,-,-,-,"- ",,,N,-,0,1,E,2013,-,A,01,,B,,-,-,2023
9470023,3,3,N,-,998,G,G,W,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2008,-,A,01,,,,-,-,2023
9739657,1,1,Y,F,53,A,-,S,M,C,Y,-,3,-,,25,22350,,A,-,0,0,B,2014,-,A,01,,W,,-,-,2024
9739657,2,1,N,M,18,A,-,S,L,D,Y,-,3,-,-,"- ",,,-,-,0,1,A,2014,-,A,01,,W,,-,-,2024
94562013,1,1,Y,M,19,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,J,2013,BMW,A,01,,O,,-,-,2025
9773221,1,1,Y,M,32,B,-,W,M,H,,-,-,-,,31,22107,,A,-,0,1,B,2003,-,A,01,,H,,-,-,2024
9773221,2,3,N,-,998,A,-,W,-,-,O,-,3,-,-,"- ",,,-,-,0,2,O,2011,-,A,07,,,,-,-,2024
9773221,3,3,N,-,998,A,-,W,-,-,O,-,3,-,-,"- ",,,N,-,0,1,O,2017,-,A,01,,,,-,-,2024
9771173,1,1,Y,M,998,G,G,E,P,W,,-,-,-,-,"- ",,,N,-,0,0,B,,-,C,02,,B,,-,-,2024
9771173,2,2,N,M,75,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,B,,-,-,2024
9755802,1,1,Y,F,70,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2009,-,A,07,,A,,-,-,2024
9755802,2,1,N,M,37,A,-,S,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2024,-,C,03,,W,,-,-,2024
9751305,1,1,N,-,998,G,G,E,N,B,,-,-,-,-,"- ",,,N,-,0,0,B,2020,-,-,99,,,,-,-,2024
9751305,2,2,Y,M,54,G,G,N,-,-,O,-,-,-,-,"- ",,,N,-,1,0,-,,-,N,60,,W,,-,-,2024
9456076,1,1,Y,M,998,G,G,S,-,B,,-,-,-,-,"- ",,,N,-,0,0,D,,-,-,99,,B,,-,-,2023
9456076,2,2,N,M,46,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,B,,-,N,60,,,,-,-,2023
9456076,3,2,N,M,3,H,H,N,-,-,O,-,-,-,-,"- ",,,N,-,0,0,B,,-,N,60,,,,-,-,2023
9713546,1,1,Y,M,55,A,-,S,L,G,Y,-,-,-,-,"- ",,,F,-,0,1,B,2002,-,A,01,,B,-,-,-,2024
9713546,2,3,N,-,998,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,0,O,2017,-,A,01,,,,-,-,2024
9781102,1,1,Y,-,998,G,G,E,M,B,,-,-,-,-,"- ",,,N,-,0,0,B,,-,A,01,,,,-,-,2024
9781102,2,1,N,M,38,A,-,E,M,G,,-,-,-,-,"- ",,,N,-,0,1,B,2020,-,A,01,,O,,-,-,2024
9714728,1,1,Y,-,998,G,G,E,-,B,,-,-,-,-,"- ",,,A,-,0,0,B,,-,A,07,,,,-,-,2023
9714728,2,2,N,M,41,A,-,-,-,-,O,-,-,-,-,"- ",,,N,-,0,1,R,,-,N,60,,H,,-,-,2023
9792136,1,1,N,F,26,A,-,E,M,G,Y,-,-,-,-,"- ",,,-,-,0,0,D,2019,-,A,01,,H,,-,-,2024
9792136,2,2,N,M,68,A,-,N,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2024
9785135,1,1,Y,M,34,A,-,S,M,G,Y,-,2,-,-,"- ",,,N,-,0,0,B,2017,FORD,D,22,,H,,-,-,2025
9785135,2,1,N,M,70,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2013,-,A,01,,A,,-,-,2025
9582838,1,1,Y,M,998,G,G,E,L,B,,-,3,-,-,"- ",,,N,-,0,0,B,2015,-,A,01,,B,,-,-,2023
9582838,2,1,N,M,62,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2013,-,A,07,,,,-,-,2023
9583060,1,1,Y,M,39,A,-,E,M,G,Y,-,-,-,-,"- ",,,N,-,0,1,B,2018,-,A,01,,H,,-,-,2023
9583060,2,3,N,-,998,H,H,E,-,-,O,-,-,-,-,"- ",,,N,-,0,1,O,2006,-,A,01,,,,-,-,2023
9590106,1,1,Y,M,20,A,-,S,M,G,N,-,-,-,-,"- ",,,N,-,0,1,A,2010,-,A,01,,H,,-,-,2023
9590106,2,1,N,F,34,A,-,N,M,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2017,-,A,01,,H,,-,-,2023
9670524,1,1,Y,F,27,A,-,S,L,G,Y,-,-,-,-,"- ",,,N,-,0,1,B,2000,-,A,01,,A,,-,-,2024
9670524,2,1,N,F,36,A,-,N,L,G,Y,-,-,-,-,"- ",,,N,-,0,2,E,2018,-,A,01,,B,,-,-,2024
9771174,1,1,Y,-,998,G,G,E,B,-,,-,-,-,-,"- ",,,N,-,0,0,B,2010,-,A,07,,,,-,-,2024
9771174,2,2,N,M,58,A,-,S,-,-,O,-,-,-,-,"- ",,,N,-,0,1,-,,-,N,60,,B,,-,-,2024
92173325,1,1,Y,M,41,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2017,"HONDA ",A,07,,H,,-,-,2023
92173325,2,1,N,F,37,A,-,W,L,G,N,-,3,-,-,"- ",,,N,-,0,1,H,2009,BMW,A,01,,H,,-,-,2023
9751042,1,1,Y,F,35,A,-,W,L,G,Y,-,-,-,-,"- ",,,N,-,0,0,E,2016,-,A,01,,A,,-,-,2024
