,CASE_ID,COLLISION_DATE_DT,COLLISION_SEVERITY,CITY,POINT_X,POINT_Y,geometry,AT_FAULT,PARTY_SEX,PARTY_AGE,RACE,LIGHTING,DAY_OF_WEEK,WEATHER_1,PRIMARY_COLL_FACTOR,PED_ACTION,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,PRIMARY_RD,SECONDARY_RD,road_class_id,route_id,road_class,road_class_name,island_id,networkLinkId,volume,volume_road_name,signal_id,traffic_signals
0,9756578,2024-07-30,4,OAKLAND,-122.18865203857422,37.731590270996094,POINT (-13601978.52565057 4541577.602658237),N,M,60,W,A,2,B,A,B,0,1,98TH AV,RT 880,490541,ALA_OAK_98TH AVE_P,4,minor arterial,,1800125529351729688,188606.62996098422,98th Avenue,,
1,9625457,2023-06-05,4,OAKLAND,-122.18331146240234,37.73643112182618,POINT (-13601384.015430575 4542258.988469477),N,M,57,B,A,1,A,A,B,0,1,EDES AV,98TH AV,491321,ALA_OAK_EDES AVE_P,5,major collector,,6543444512752202330,1183902.7845568222,Edes Avenue,,
2,9650223,2023-04-28,3,OAKLAND,-122.18331146240234,37.73643112182618,POINT (-13601384.015430575 4542258.988469477),N,F,30,H,C,5,A,A,B,0,1,98TH AV,EDES AV,491321,ALA_OAK_EDES AVE_P,5,major collector,,6543444512752202330,1183902.7845568222,Edes Avenue,,
3,9806914,2025-03-23,3,OAKLAND,-122.18331146240234,37.73643112182618,POINT (-13601384.015430575 4542258.988469477),Y,F,13,H,A,7,A,A,B,0,1,98TH AV,EDES AV,491321,ALA_OAK_EDES AVE_P,5,major collector,,6543444512752202330,1183902.7845568222,Edes Avenue,,
4,9885390,2025-08-06,4,OAKLAND,-122.17790985107422,37.73670196533203,POINT (-13600782.710808067 4542297.113026338),N,F,23,B,A,3,A,A,E,0,1,STONE ST,PIPPIN ST,492431,ALA_OAK_PIPPIN ST_P,7,local,,1491499023529903907,3262.780625864375,Pippin Street,,
5,9793894,2025-02-05,3,OAKLAND,-122.18449401855467,37.73675537109375,POINT (-13601515.656979287 4542304.630561054),N,F,42,W,B,3,A,A,E,0,1,EDES AV,NEVADA ST,491321,ALA_OAK_EDES AVE_P,5,major collector,,663578405816102506,1712905.8163319498,Edes Avenue,,
6,9869077,2025-04-30,4,OAKLAND,-122.1674575805664,37.74029541015625,POINT (-13599619.169377502 4542802.9478134625),N,M,60,B,B,3,A,A,C,0,1,INTERNATIONAL BL,104TH AV,772196,SHS_185._P,3,other principal arterial,,10461066708074261357,1378589.2560408914,104th Avenue,,
7,9869077,2025-04-30,4,OAKLAND,-122.1674575805664,37.74029541015625,POINT (-13599619.169377502 4542802.9478134625),N,M,68,B,B,3,A,A,C,0,0,INTERNATIONAL BL,104TH AV,772196,SHS_185._P,3,other principal arterial,,10461066708074261357,1378589.2560408914,104th Avenue,,
8,9680531,2023-10-19,3,OAKLAND,-122.1674575805664,37.74029541015625,POINT (-13599619.169377502 4542802.9478134625),N,F,60,B,A,4,A,B,E,0,1,104TH AV,INTERNATIONAL BL,772196,SHS_185._P,3,other principal arterial,,10461066708074261357,1378589.2560408914,104th Avenue,,
9,9592487,2023-04-07,3,OAKLAND,-122.1674575805664,37.74029541015625,POINT (-13599619.169377502 4542802.9478134625),N,M,30,H,A,5,A,A,E,0,1,104TH AV,INTERNATIONAL BL,772196,SHS_185._P,3,other principal arterial,,10461066708074261357,1378589.2560408914,104th Avenue,,
10,9715575,2023-11-02,4,OAKLAND,-122.15596771240234,37.74029541015625,POINT (-13598340.123104198 4542802.9478134625),N,M,47,H,A,4,A,A,B,0,1,BANCROFT AV,108TH AV,490702,ALA_OAK_BANCROFT AVE_P,4,minor arterial,,7154800567448013206,10551.103499552313,108th Avenue,,
11,9711736,2024-03-30,4,OAKLAND,-122.15687561035156,37.74153518676758,POINT (-13598441.189841596 4542977.4718820825),N,M,79,O,C,6,A,D,B,0,1,106TH AV,BANCROFT AV,752998,ALA_OAK_106TH AVE_P,4,minor arterial,,13678926674187612448,1293108.3040566747,106th Avenue,node/6331375186,
12,9714992,2023-05-14,4,OAKLAND,-122.15067291259766,37.74178695678711,POINT (-13597750.708686087 4543012.914050018),Y,F,56,B,C,7,A,A,D,0,1,108TH AV,MACARTHUR BL,490185,ALA_OAK_108TH AVE_P,7,local,,5263625256651345449,14468.322593798828,108th Avenue,,
13,9724265,2024-04-09,4,OAKLAND,-122.17567443847656,37.74191665649414,POINT (-13600533.86581598 4543031.172183579),N,M,32,H,B,2,A,A,B,0,1,D ST,98TH AV,491125,ALA_OAK_D ST_P,7,local,,17592585136587146316,103936.83215556138,D Street,node/53047177,
14,9744080,2024-10-01,2,OAKLAND,-122.17568206787108,37.7419319152832,POINT (-13600534.715116294 4543033.320201395),N,F,32,H,A,2,A,A,B,0,1,98TH AV,D ST,491125,ALA_OAK_D ST_P,7,local,,17592585136587146316,103936.83215556138,D Street,node/53047177,
